"NAME","FORMULA","SOURCE","PURITY","N (NO3-)","N (NH4+)","P","K","MG","CA","S","B","FE","ZN","MN","CU","MO","NA","SI","CL","ISLIQUID","DENSITY","COST","TYPE"
"Potassium Nitrate","KNO3","https://amzn.to/2z9CjRk","1","13,856","0","0","38,67","0","0","0","0","0","0","0","0","0","0","0","0","0",,"22,04624","Raw"
"Magnesium Sulfate (Heptahydrate)","MgSO4.7H2O","https://amzn.to/2WDdNB2","1","0","0","0","0","9,86","0","13,01","0","0","0","0","0","0","0","0","0","0",,"2,07235","Raw"
"Calcium Sulfate (Dihydrate)","CaSO4.2H2O","https://amzn.to/3dVoHb8","1","0","0","0","0","0","23,28","18,62","0","0","0","0","0","0","0","0","0","0",,"7,69414","Raw"
"Boric Acid","H3BO3","https://amzn.to/2y9QnKc","1","0","0","0","0","0","0","0","17,482","0","0","0","0","0","0","0","0","0",,"24,14064","Raw"
"Iron II Sulfate (Hepahydrate)","FeSO4.7H2O","https://amzn.to/3dTOel3","1","0","0","0","0","0","0","11,53","0","20,09","0","0","0","0","0","0","0","0",,"3,198","Raw"
"Zinc Sulfate (Monohydrate)","ZnSO4.H2O","https://amzn.to/2Z87Vl8","1","0","0","0","0","0","0","17,86","0","0","36,44","0","0","0","0","0","0","0",,"40,76351","Raw"
"Copper Sulfate (pentahydrate)","CuSO4.5H2O","https://amzn.to/2WDSYW7","1","0","0","0","0","0","0","12,84","0","0","0","0","25,45","0","0","0","0","0",,"4,198","Raw"
"Calcium Monobasic Phosphate","Ca(H2PO4)2.H2O","https://amzn.to/2X5bQwf","1","0","0","24,779","0","0","16,029","0","0","0","0","0","0","0","0","0","0","0",,"81,54906","Raw"
"Sodium Molybdate (Dihydrate)","Na2MoO4.2H2O","https://amzn.to/2X3Xw7n","1","0","0","0","0","0","0","0","0","0","0","0","0","39,65","19","0","0","0",,"44,07044","Raw"
"Potassium Monobasic Phosphate","KH2PO4","https://amzn.to/3fXQTft","1","0","0","22,758","28,732","0","0","0","0","0","0","0","0","0","0","0","0","0",,"44,07044","Raw"
"Iron EDTA","Fe(EDTA)","https://amzn.to/3cGnEMb","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0",,"55,09356","Raw"
"Potassium Dibasic Phosphate","K2HPO4","https://amzn.to/3bFiY7S","1","0","0","17,781","44,897","0","0","0","0","0","0","0","0","0","0","0","0","0",,"58,77529","Raw"
"Ammonium Sulfate","(NH4)2SO4","https://amzn.to/3dVTmoY","1","0","21,203","0","0","0","0","24,267","0","0","0","0","0","0","0","0","0","0",,"35,25194","Raw"
"Ammonium Monobasic Phosphate","(NH4)H2PO4","https://amzn.to/3fUo2sB","1","0","12,18","26,924","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"77,13981","Raw"
